source_id,source_sub_id,start_time,duration,shape,xcen,ycen,flux,distance,fwhm_wd,fwhm_ht,phi,loop_ht,time_distribution,time_distribution_param1,time_distribution_param2,energy_spectrum_type,energy_spectrum_param1,energy_spectrum_param2,background_multiplier,background_multiplier_1, background_multiplier_2,background_multiplier_3,background_multiplier_4,background_multiplier_5,background_multiplier_6,background_multiplier_7,background_multiplier_8,background_multiplier_9,background_multiplier_10,background_multiplier_11,background_multiplier_12,background_multiplier_13,background_multiplier_14,background_multiplier_15,background_multiplier_16,background_multiplier_17,background_multiplier_18,background_multiplier_19,background_multiplier_20,background_multiplier_21,background_multiplier_22,background_multiplier_23,background_multiplier_24,background_multiplier_25,background_multiplier_26,background_multiplier_27,background_multiplier_28,background_multiplier_29,background_multiplier_30,background_multiplier_31
1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,,20,point,0,0,50875,1,,,,,linear,,,powerlaw,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,,20,point,0,0,1785712,1,,,,,linear,,,powerlaw,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3,,20,point,0,0,2027701,1,,,,,linear,,,powerlaw,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,4,,20,point,0,0,3864289,1,,,,,linear,,,powerlaw,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,5,,20,point,0,0,7728578,1,,,,,linear,,,powerlaw,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1,,20,point,0,0,1,1,,,,,uniform,,,powerlaw,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,,20,point,0,0,101750,1,,,,,uniform,,,powerlaw,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,3,,20,point,0,0,3673175,1,,,,,uniform,,,powerlaw,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,4,,20,point,0,0,7728578,1,,,,,uniform,,,powerlaw,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,5,,20,point,0,0,15457157,1,,,,,uniform,,,powerlaw,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,6,,20,point,0,0,54100048,1,,,,,uniform,,,powerlaw,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
